69,69(體位)
1boy,1個男孩
1girl,1個女孩
about_to_be_raped,將要被強暴
absurdres,超高解析度
adjusting_thighhigh,調整過膝襪
ahoge,呆毛
album,專輯
all_fours,四肢趴地
anal_beads,肛珠
anal_fisting,拳爆菊
anal_insertion,菊花插入物
angel,天使
animated_gif,gif格式圖片
apron,圍裙
areolae,乳暈
arm_support,用手支撐住
armlet,臂環
armpit,腋
arms_behind_back,手放在身後
arms_crossed,手交叉於胸前
arms_up,抬手
aroused,性興奮
arrow,箭
artificial_vagina,人工陰道
artist_request,"作者未知	需要補完"
ass,屁股
babydoll,透明睡衣
back,背影像
back-to-back,背對背
bad_id,ID轉向錯誤(原位址或已被刪除)
ballgag,球塞
bandage,繃帶
bandaid,創可貼
bangs,劉海
bat_wings,蝙蝠翅膀
bell,鈴鐺
belt,腰帶
bent_over,翹臀姿勢
beret,貝雷帽
bestiality,人獸
bike_shorts,自行車短褲
bikini,比基尼
bitgag,棍塞
black_eyes,黑眼
black_hair,黑髮
black_thighhighs,黑色過膝襪
blonde_hair,金髮
blood,血
bloomers,燈籠褲
blue_eyes,藍眼
blue_hair,藍發
blunt_bangs,齊劉海
blush,臉紅的
body_writing,身上有字
bondage,捆綁/奴役
bound_arms,手臂捆綁
bound_wrists,手腕捆綁
bra,胸罩
bracelet,手鐲
braid,辮子
breast_feeding,餵奶（小）
breast_grab,摸乳
breast_smother,把頭塞入胸
breast_sucking,吸乳（中）
brown_eyes,棕眼
brown_hair,棕發
building,建築
bunny_ears,兔耳
business_suit,職場制服
bust,半身像
butterfly_wings,蝴蝶翅膀
buttjob,臀交
cake,蛋糕
camera,相機
cane,手杖
cape,披肩/斗篷/披風
caramelldansen,某著名伸手扭腰動作
cat_ears,貓耳
cat_pose,貓爪手勢
censored,審核過的/有碼
cervix,子宮口
chains,鎖鏈
chair,椅子
cheerleader,啦啦隊
cherry_blossoms,櫻花
chibi,Q版人物
chinadress,旗袍
Chinese,中文
chinese_clothes,唐裝
chopsticks,筷子
christmas,耶誕節
cigarette,香煙
cleavage,乳溝
clitoris,陰蒂
cock_in_thighhigh,插在過膝襪裏
cock_ring,屌環
collar,項圈
collarbone,鎖骨
colorful,色彩斑斕的
comic,漫畫
cosplay,角色扮演
covr,封面
cowgirl_position,女上正騎
crazy,瘋狂的
cream,奶油
crease,起皺
cross-section,透視人體內部
crotch_rope,胯下捆綁
crotch_rub,胯部摩擦
cuffs,手鏈/手銬
cum_inside,內射
cum_on_breast,射在胸上
cum_on_food,射在食物上
cum_on_hair,射在頭髮上
cunnilingus,舔陰
curly_hair,捲髮
curtsy,屈膝禮
dagger,匕首/短劍
dakimakura,抱枕
dark,暗的
dark_persona,黑化的
deepthroat,深喉
devil,魔鬼（撒旦）
diaper,尿布
dildo,假屌
dog_ears,狗耳
double_anal,雙重爆菊
double_dildo,雙頭龍
double_penetration,雙穴同插
double_vaginal,雙重入穴
dress,連衣裙
drill_hair,鑽頭卷/公主卷
drunk,喝醉的
earrings,耳環
egg_vibrator,跳蛋
endured_face,忍耐的表情
enema,灌腸
English,英文
expressionless,無表情的
expressions,表情繪
eyelid_pull,拉眼皮吐舌鬼臉
eyepatch,眼罩(獨眼)
eyes_closed,閉眼
faceless_male,無臉男
facepaint,面紋
facesitting,坐在臉上
facial,顏射
fangs,尖牙
fellatio,口交
female,女性
female_ejaculation,潮吹
fetal_position,曲腿至胸
fine_art_parody,名畫模仿
finger_gun,手槍手勢
fingerless_gloves,露指手套
fingersmile,用手指做出笑臉
fishnet_pantyhose,漁網襪
fishnet_stockings,漁網襪
fisting,拳頭插入
flower_petals,花瓣
foot,腳
footjob,足交
forest,森林/樹
fox_ears,狐耳
French,法文
frogtie,青蛙捆綁
frown,皺眉/蹙額
fruit_insertion,用水果蔬菜
full_moon,滿月
gag,口塞
game_cg,遊戲CG
gangbang,輪奸
giantess,女巨人
girl_on_top,女上體位
gloves,手套
goggles,風鏡
gohei,禦幣
gokkun,吃精
gothic,哥特風格
gothic_lolita,哥特洛麗塔風格
gradient_background,漸變的背景
green_eyes,綠眼
green_hair,綠發
grey_eye,灰眼
grey_hair,灰發
grin,露齒而笑
guitar,吉他
gun,槍
guro,獵奇
gym_uniform,運動服
hair_ribbon,發帶
hairband,髮卡
hairclip,髮夾
hairjob,發交
halloween,萬聖節
halo,頭頂光環
hand_to_mouth,手放在嘴邊
handcuffs,手銬
handgun,手槍
handjob,用手做
happy_sex,快樂做愛
harem,後宮
have_to_pee,憋尿
heterochromia,異色瞳
high_heels,高跟鞋
highres,高解析度
hime_cut,姬髮式
himopan,系帶式內褲
hips,臀部
hitachi_magic_wand,按摩棒
hogtie,曲膝捆綁
holding,拿著
holding_hands,牽手
hood,兜帽
horns,獸角
hreesome,3P
hug,擁抱
huge_ass,大屁股
huge_filesize,超級高解析度/大文件
incest,亂倫
incredibly_absurdres,極高解析度
insertion,插入物
Japanese,日本人
knee_boots,馬靴
kneeling,下跪
kneepits,膝蓋內側
lantern,燈籠
lap_pillow,膝枕
leash,寵物鏈
leg_hug,抱腿
legwear,裹腿
lips,嘴唇
loli,蘿莉
long_hair,長髮
long_sleeves,長袖
looking_at_viewer,看著你
looking_back,向後看
loose_socks,泡泡襪
low_leg_panties,低腰式內褲
lowleg_panties,低腰式內褲
lowres,低解析度
maebari,陰貼/乳貼
magic_circle,魔法陣
magical_girl,魔法少女
maid,女僕
maid_headdress,女僕頭飾
male,男性
mary_janes,瑪麗珍鞋
masturbation,自慰
mermaid,美人魚
messy_hair,淩亂髮型
microphone,麥克風
midriff,露腰上衣
miko,巫女
milf,熟女
mini_top_hat,迷你禮帽
minigirl,迷你女孩
miniskirt,迷你裙
missionary,傳教士體位
molestation,性騷擾
monochrome,單色圖片
monster,怪物
mound_of_venus,腹部三角帶
mouse_ears,老鼠耳朵
multiple_insertions,一穴多插
muscle,肌肉
naked,裸體的
naked_apron,裸體圍裙
naked_cape,裸體披風
naked_overalls,裸體工作服
naked_ribbon,裸體絲帶
naked_shirt,裸體襯衫
naughty_face,下流的表情
navel,肚臍
necklace,項鏈
necktie,領帶
nipple_pull,啦乳頭
nipple_suck,吸乳（中）
nipple_torture,虐乳頭
nipples,乳頭
no_bra,無胸罩
nosebleed,鼻血
nude,裸體的
nun,修女
nurse_cap,護士帽
nyotaimori,女體盛
obento,便當
ocean,大海
ofuda,劄符
on_stomach,趴著
open_clothes,敞開衣服
open_robe,敞開長袍
optical_illusion,視覺錯誤
oral,口交
original,原創
paizuri,乳交
pajamas,睡衣
panty_gag,用內褲塞口
panty_pull,內褲拉下來
pantyhose,連褲襪
pantyshot,內褲走光
payot,長鬢角
pegging,女性使用假屌
penetration,異物插入
pentagram,五角星
personification,擬人
photo,照片
piano,鋼琴
pillory,枷鎖
pink_thighhighs,粉色過膝襪
pleated_skirt,百褶裙
pointy_ears,尖耳
ponytail,馬尾
pregnant,懷孕
princess_carry,公主抱
profile,側面繪
pubic_hair,陰毛
purple_eyes,紫發
purple_hair,紫發
real,真實
red_eyes,紅眼
red_hair,紅發
reverse_cowgirl,女上反騎
ring_gag,擴口器
robe,長袍
rolleyes,眼球上翻
rope,繩子
ruins,廢墟/遺跡
sad,悲傷的
sailor_collar,水手領
sake,日本酒
saliva,唾液
salute,敬禮
santa,聖誕裝
scarf,圍巾
school_uniform,學校制服
seiza,正坐
serafuku,水手服
shaved_pussy,剃過陰毛的（無毛B）
short_hair,短髮
short_ponytail,短馬尾
shorts,短褲
shota,正太
shy,害羞的
siblings,兄弟姐妹
side_ponytail,側馬尾
silhouette,剪影
silver_eyes,銀眼
silver_hair,銀髮
sisters,姐妹
sitting,坐著
sketch,素描
skinny,骨感
skirt_lift,掀起裙子
slave,奴隸
sleeping,睡覺
slippers,拖鞋
slit_pupils,豎的瞳孔/貓眼
smelling,聞
socks,短襪
solo,單人
spanked,打屁股
stare,凝視
stockings,絲襪
stocks,枷鎖
straddle,跨坐
striped_panties,條紋內褲
striped_socks,橫條襪
striped_thighhighs,條紋過膝襪
suit,西裝
summer_dress,夏日長裙
sunset,落日
swimsuit,泳裝
symmetrical_hand_pose,手對手
tagme,圖片有一些上傳者未知的項目
tail,尾巴
taiyaki,鯛魚燒
tamakeri,蛋疼
tan_lines,曬日線
tapegag,膠帶封口
tartan,格子花紋
tattoo,紋身
teacup,茶杯
tears,眼淚
tentacle,觸手
thigh_gap,股溝
thighhighs,過膝襪
thighs,大腿
thong,丁字褲
tiara,三重冕
tie,領帶
toes,腳趾
tongue,舌頭
top-down_bottom-up,趴著翹臀
torn_clothes,破爛衣服
torn_thighhighs,損壞了的過膝襪
traditional_media,傳統媒體（手繪稿）
translation_request,翻譯
trap,偽娘
trefoil,三角褲給你看
tribadism,磨豆腐
triple_penetration,三穴同插
tsurime,吊眼角
twin_braids,雙辮子
twintails,雙馬尾
umbrella,傘
uncensored,未審核的/無碼
underwater_sex,水中做愛
underwear,內衣
undressing,脫衣服中
uniform,制服
valentine,情人節
vampire,吸血鬼
very_long_hair,很長的頭髮
vibrator,帶振動的自慰器
vibrator_in_thighhighs,震動開關在過膝襪裏
virgin,處女/破瓜
voyeurism,窺陰癖
waitress,女服務員
wakamezake,酒倒在陰部
wallpaper,壁紙
wand,魔杖
watercolor_(medium),透明水彩繪
waving,招手
wavy_hair,波浪髮型
weapons,武器
wedding_dress,婚紗
western,西部風格
wet,濕身
what,不知所謂
white_eyes,白眼
white_hair,白髮
white_panties,白色內褲
white_thighhighs,白色過膝襪
wide_hips,寬盆骨
wince,閉一隻眼
wine,葡萄酒
wink,眨眼
wooden_horse,木馬
wrist_cuffs,腕飾
wristband,腕帶
w-sitting,割坐
yellow_eyes,金眼
yokozuwari,側身坐
yukata,浴衣
yukkuri_shiteitte_ne,油庫裏（饅頭樣只有頭的人物）
yuri,百合
zettai_ryouiki,絕對領域
zoom_layer,背景是前景的放大版
2k-tan,2K碳
abe_nana,安部菜菜
admiral_graf_spee_(azur_lane),斯佩伯爵海軍上將（碧藍航線）
aegis_(persona),艾吉斯（女神異聞錄）
aerith_gainsborough,艾麗絲•蓋恩斯巴勒
afuro_terumi,亞風爐照美
agrias_oaks,阿格莉亞絲
ahri_(league_of_legends),阿狸
aida_mana,相田愛
aino_megumi,愛乃惠
aino_minako,愛野美奈子
aircraft_carrier_oni,空母棲鬼
aisaka_taiga,逢阪大河
aisha_landar,艾爾莎•蘭達
akagi_(azur_lane),赤城(碧藍航線)
akagi_miria,赤城米莉亞
akali,阿卡麗
akashi_(azur_lane),明石|明石(碧藍航線)
akatsuki_kirika,曉切歌
akaza_akari,赤座燈裏
akemi_homura,曉美焰
aki_(girls_und_panzer),小秋(少女與戰車)
aki_minoriko,秋穰子
aki_shizuha,秋靜葉
akita_neru,亞北音留
akiyama_mio,秋山澪
akiyama_yukari,秋山優花裏
akizuki_ritsuko,秋月律子
akizuki_ryo,秋月涼
akuma_homura,惡魔焰
alastor_(shakugan_no_shana),天壤劫火•亞拉斯特爾
alena_(dq4),安莉娜公主(勇者鬥惡龍4)
alice_cartelet,愛麗絲•卡塔雷特
alice_margatroid,愛麗絲•瑪格特羅依德
alice_margatroid_(pc-98),愛麗絲•瑪格特羅依德(PC-98)
alisa_(girls_und_panzer),亞理紗（少女與戰車）
alisa_ilinichina_amiella,亞莉莎•伊莉妮提娜•阿米耶拉
alpaca_suri_(kemono_friends),蘇利羊駝（動物朋友）
alphonse_elric,阿爾馮斯•艾爾利克
altera_(fate),阿提拉(Fate)
amagi_yukiko,天城雪子
amami_haruka,天海春香
amamiya_ren,雨宮蓮
amanogawa_kirara,天之川綺羅
amasawa_yuuko,天澤勇子
amaterasu_(ookami),天照大神
amazon_(dragon's_crown),亞馬遜女戰士（龍之皇冠）
america_(hetalia),阿爾弗雷德•F•鐘斯
amiya_(arknights),阿米婭（明日方舟）
anastasia_(idolmaster),安娜斯塔西婭（偶像大師）
anchovy_(girls_und_panzer),安丘比（少女與戰車）
andou_(girls_und_panzer),安藤（少女與戰車）
android_18,人造人18號
android_21,人造人21號
anegasaki_nene,姐崎甯甯
ange_(princess_principal),安潔（公主準則）
angel_(kof),安琪兒（拳皇）
angela_balzac,安吉拉•巴爾扎克（樂園追放）
anila_(granblue_fantasy),阿妮拉（碧藍幻想）
anjou_naruko,安城鳴子
anna_(frozen),安娜（冰雪奇緣）
annie_leonhardt,亞妮•雷恩哈特
anya_alstreim,阿尼亞•阿爾斯托萊姆
aoba_moca,青葉摩卡
aoki_reika,青木麗華
aono_miki,蒼乃美希
aozaki_aoko,蒼崎青子
aqua_(konosuba),阿庫婭
ara_haan,艾拉•韓
aragaki_ayase,新垣綾瀨
aragaki_shinjirou,荒垣真次郎
araragi_karen,阿良良木火憐
araragi_koyomi,阿良良木曆
araragi_tsukihi,阿良良木月火
arcueid_brunestud,愛爾奎特•布倫史塔德
arle_nadja,阿露露（噗喲噗喲）
armin_arlert,阿爾敏•阿諾德
arthur_pendragon_(fate),舊劍(fate)
artoria_pendragon_(fate),阿爾托莉雅•潘德拉貢
artoria_pendragon_(swimsuit_ruler)_(fate),泳裝獅子王(fate)
asahina_mikuru,朝比奈實玖瑠
asahina_mirai,朝日奈未來
asakura_ryouko,朝倉涼子
asbel_lhant,阿斯貝爾•蘭特
ashido_mina,蘆戶三奈
assam_(girls_und_panzer),阿薩姆（少女與戰車）
assassin_(fate/zero),暗殺者(fate/zero)
asseylum_vers_allusia,艾瑟依拉姆•薇瑟•艾莉歐斯亞
astolfo_(fate),阿斯托爾福（命運）
asui_tsuyu,蛙吹梅雨
asuna_(sao),結城明日奈
asuna_(sao-alo),亞絲娜(ALO)
atago_(azur_lane),愛宕(碧藍航線)
atago_(summer_march)_(azur_lane),愛宕（夏季進行曲）
atalanta_(fate),阿塔蘭塔(fate)
au_ra,敖龍族
ayanami_(azur_lane),綾波（碧藍航線）
ayanami_rei,綾波麗
ayane_(doa),綾音（死或生）
ayase_eli,絢瀨繪裏
ayatsuji_tsukasa,絢辻詞
azura_(fire_emblem),阿庫婭（火焰之紋章）
baiken,梅喧
bakugou_katsuki,爆豪勝己
bardiche,雷光戰斧
bayonetta,貝優妮塔（獵天使魔女）
bazett_fraga_mcremitz,巴澤特•弗拉加•馬克雷密斯
bb_(fate),bb_(命運)
bb_(swimsuit_mooncancer)_(fate),泳裝BB
beatrice_(umineko),碧昂特莉絲(Umineko)
beatrix_(granblue_fantasy),貝阿朵麗絲（碧藍幻想）
bianca_(pokemon),白露（口袋妖怪）
belarus_(hetalia),娜塔莎•阿爾洛夫斯卡婭
belfast_(azur_lane),貝爾法斯特
belldandy,貝露丹蒂
bernadetta_von_varley,貝爾娜提塔
berserker_(fate/zero),狂蘭|狂階蘭斯洛特
black_hanekawa,黑羽川
black_heart,聖黑之心
black_rock_shooter_(character),黑岩射手
blake_belladonna,布蕾克•貝拉多娜
blanc_(neptune_series),布蘭（海王星）
boa_hancock,海賊女帝波雅•漢庫克
chen,橙
chi-class_torpedo_cruiser,雷巡チ級
chitanda_eru,千反田愛瑠
chiyoda_momo,千代田桃
chun-li,春麗
commander_(azur_lane),指揮官（碧藍航線）
corrin_(fire_emblem)_(female),神威（女）
corrin_(fire_emblem)_(male),神威（男）
d.va_(overwatch),D.Va（守望先鋒）
daidouji_tomoyo,大道寺知世
daiyousei,大妖精
dark_sakura,黑櫻
dekomori_sanae,凸守早苗
doctor_(arknights),博士
doujima_nanako,堂島菜菜子
eldridge_(azur_lane),埃爾德里奇（碧藍航線）
elin,愛琳族
elise_(fire_emblem),伊莉絲（火焰之紋章）
emiya_kiritsugu,衛宮切嗣
emiya_shirou,衛宮士郎
endou_mamoru,圓堂守
